Symbol,Name,Sector,Status,Entry Date,Exit Date,Entry Price,Exit Price,Direction,Weight,Size,PnL,Return
VALU,Value Line Inc Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,38.540000915527344,38.06999969482422,Long,0.05,405.3718606314154,-190.52526933546142,-0.012195153335187506
VABK,Virginia National Bankshares Corp Common,Financials,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,37.47999954223633,37.47999954223633,Long,0.05,420.74274857059476,0.0,0.0
USGO,US GoldMining Inc Common,Materials,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,8.239999771118164,8.239999771118164,Long,0.05,1913.7668036227678,0.0,0.0
TUSK,Mammoth Energy Services Inc Common,Energy,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,2.6700000762939453,2.6700000762939453,Long,0.02173566710565411,2543.648018116055,0.0,0.0
TIGO,Millicom International Cellular SA Common,Communication Services,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,37.619998931884766,37.040000915527344,Long,0.05,415.28528238799333,-240.86464000746855,-0.01541727891613115
TCI,Transcontinental Realty Investors Inc Common,Real Estate,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,43.470001220703125,43.470001220703125,Long,0.05,362.76598990097926,0.0,0.0
STRS,Stratus Properties Inc Common,Real Estate,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,19.450000762939453,19.450000762939453,Long,0.05,810.7679899875712,0.0,0.0
RPT,Rithm Property Trust Inc Common,Financials,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,2.680000066757202,2.680000066757202,Long,0.05,5884.118519036514,0.0,0.0
RBKB,Rhinebeck Bancorp Inc Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,11.899999618530273,11.829999923706055,Long,0.048392576664019915,1270.653432279875,-88.94535248693683,-0.0058823274847183355
PEBK,Peoples Bancorp of North Carolina Inc Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,29.350000381469727,29.65999984741211,Long,0.05,532.3009089201735,165.01299748589918,0.010562162245766218
PAMT,PAMT Corp Common,Industrials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,13.449999809265137,13.899999618530273,Long,0.05,1161.5637250122284,522.7034547048042,0.03345723536405931
OVLY,Oak Valley Bancorp Common,Financials,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,27.479999542236328,27.479999542236328,Long,0.05,573.8514660303312,0.0,0.0
NC,NACCO Industries Inc Class A Common,Energy,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,41.310001373291016,40.470001220703125,Long,0.05,378.19005956181945,-317.6797077391511,-0.020334062567497056
MLP,Maui Land & Pineapple Company Inc Common,Real Estate,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,17.760000228881836,17.90999984741211,Long,0.027196680114753152,478.48490426060863,71.7725531115866,0.00844592435794801
MKTW,MarketWise Inc Class A Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,18.69499969482422,18.549999237060547,Long,0.05,835.6797076701247,-121.17394015597893,-0.007756109127073965
MBCN,Middlefield Banc Corp Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,30.81999969482422,31.200000762939453,Long,0.05,506.9121360986723,192.62715315807145,0.012329690846137548
LFT,Lument Finance Trust Inc Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,2.109999895095825,2.0899999141693115,Long,0.05,7404.28087990699,-148.0854763726893,-0.009478664417471607
KLC,Kindercare Learning Companies Inc Common,Consumer Discretionary,Closed,2025-07-01T00:00:00.000,2025-07-08T00:00:00.000,10.029999732971191,9.680000305175781,Long,0.05,1504.910435720389,-526.7177913854775,-0.034895257937532335
GAIA,Gaia Inc Class A Common,Communication Services,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,4.099999904632568,4.039999961853027,Long,0.05,3810.4956690880385,-228.6295221069704,-0.014634132725648894
FTLF,FitLife Brands Inc Common,Consumer Staples,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,13.75,13.5,Long,0.05,1136.220500353729,-284.05512508843276,-0.018181818181818212
FRD,Friedman Industries Inc Common,Materials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,16.469999313354492,16.709999084472656,Long,0.05,948.5751385062921,227.65781612989122,0.014571935708798944
EPSN,Epsilon Energy Ltd Common,Energy,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,7.199999809265137,7.400000095367432,Long,0.05,2169.8655963517763,433.97374007388316,0.027777818250068583
ELA,Envela Corp Common,Consumer Discretionary,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,6.0,6.159999847412109,Long,0.02332873857038653,1214.8854213405214,194.38148203767923,0.026666641235351507
CSPI,CSP Inc Common,Information Technology,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,12.100000381469727,12.100000381469727,Long,0.05,1303.2592997248908,0.0,0.0
CPSS,Consumer Portfolio Services Inc Common,Financials,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,9.819999694824219,9.800000190734863,Long,0.05,1590.9401594073502,-31.81801422398712,-0.0020366094410264085
CLPR,Clipper Realty Inc Common,Real Estate,Closed,2025-07-07T00:00:00.000,2025-07-08T00:00:00.000,3.6099998950958256,3.569999933242798,Long,0.029346337545186008,2540.0486445915203,-101.60184888849471,-0.01108032216493059
CIX,CompX International Inc Class A Common,Industrials,Open,2025-07-08T00:00:00.000,2025-07-08T00:00:00.000,25.40999984741211,25.40999984741211,Long,0.05,620.5996898276719,0.0,0.0
